Time,ID,LAT,LON,ALT,Number of similar WiFis,SSID,Mac,Frequncy
2017-12-03 08:49:44,model=Lenovo PB2-690Y_device=PB2PRO,32.10488210412439,35.210373607684296,704.0554242419931,2,Afikim_Wifi,00:1a:dd:f5:df:c5,6
2017-12-03 08:45:22,model=Lenovo PB2-690Y_device=PB2PRO,32.10468231924794,35.2099254343313,710.2256059369854,3, ,00:1a:dd:f5:e2:e4,8
2017-12-03 08:45:00,model=SM-G950F_device=dreamlte,32.10477222514299,35.21012821479474,702.7538803082398,4,Afikim_Wifi,00:1a:dd:f5:e2:e5,8
2017-12-03 08:41:22,model=SM-G950F_device=dreamlte,32.105460466409745,35.210257453794235,689.4884991272369,3,PEPWAVE_C99D,00:1a:dd:f5:e9:24,1
2017-12-03 08:41:22,model=SM-G950F_device=dreamlte,32.10562571316993,35.21030626994565,689.1763663264628,5,Afikim-73925,00:1a:dd:f5:e9:25,1
2017-12-03 08:51:34,model=Lenovo PB2-690Y_device=PB2PRO,32.10291725551843,35.20991664023982,702.116966757302,20,KCG-ADSL,00:1d:aa:81:d8:3c,3
2017-12-03 08:37:13,model=SM-G950F_device=dreamlte,32.102528187003614,35.20734570155965,700.1622738859833,1,Yan,00:21:04:4c:2a:a2,6
2017-12-03 08:41:13,model=SM-G950F_device=dreamlte,32.10396303909033,35.20844384100144,691.9214773377328,3,AUC_54_R,00:25:86:cc:00:f8,5
2017-12-03 08:45:33,model=SM-G950F_device=dreamlte,32.10410016147078,35.20842792478725,703.2732684202417,2,KCG_54,00:25:86:cc:07:b2,2
2017-12-03 08:47:21,model=Lenovo PB2-690Y_device=PB2PRO,32.10520095441039,35.211813446554004,694.5187617004623,4,KCG_20,00:27:19:13:fc:a4,11
2017-12-03 08:39:07,model=SM-G950F_device=dreamlte,32.105801846979396,35.21010479765049,688.5497026939919,2, ,00:27:22:f3:a6:9a,6
2017-12-03 08:54:02,model=SM-G950F_device=dreamlte,32.10405974104211,35.20942539110444,705.4863232281272,3, ,00:27:22:f3:bb:2b,6
2017-12-03 08:38:10,model=SM-G950F_device=dreamlte,32.10353355128237,35.20781291804855,690.5795129917332,1, ,00:27:22:f3:bb:3a,6
2017-12-03 08:38:10,model=SM-G950F_device=dreamlte,32.10375725007887,35.20784015835278,690.4441102635042,2, ,00:27:22:f3:bb:86,6
2017-12-03 08:38:28,model=SM-G950F_device=dreamlte,32.10473074431384,35.20808401590763,689.6319853475801,1, ,00:27:22:f3:e0:83,1
2017-12-03 08:39:07,model=SM-G950F_device=dreamlte,32.105924522405914,35.21055874734606,688.6737904292652,3, ,00:27:22:f3:e2:f3,6
